Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,29.667933,30.151802,29.620493,29.724857,23.154593,16371571
2015-01-05,29.743834,29.800758,29.421251,29.563566,23.028952,24786391
2015-01-06,29.667933,30.227703,29.525618,29.810247,23.221104,29468681
2015-01-07,30.094877,30.237192,29.962049,30.218216,23.538898,20248816
2015-01-08,30.683111,30.967743,30.569260,30.834915,24.019285,49169522
2015-01-09,30.815939,31.024668,30.759012,30.977230,24.130144,26083022
2015-01-12,30.996204,31.195446,30.939280,31.091082,24.218828,24867865
2015-01-13,31.195446,31.527514,30.474382,30.777988,23.974943,35989568
2015-01-14,30.559772,31.043644,30.483871,30.815939,24.004501,32301727
2015-01-15,30.958254,31.091082,30.597723,30.740038,23.945381,27009593
2015-01-16,30.635674,31.138519,30.607210,31.119545,24.241003,25146648
2015-01-20,31.280834,31.413662,30.872866,31.404175,24.462723,44449393
2015-01-21,31.233397,31.783682,30.891842,30.967743,24.122751,35027793
2015-01-22,30.996204,31.148008,30.407970,31.129032,24.248392,31389069
2015-01-23,31.185959,31.214420,30.768501,30.787476,23.982334,27378599
2015-01-26,30.806452,31.166983,30.521822,31.119545,24.241003,28285566
2015-01-27,30.683111,31.641365,30.645161,30.929790,24.093193,42732322
2015-01-28,30.901327,31.442125,29.895636,30.313093,23.612806,33774481
2015-01-29,30.275143,30.322580,29.924099,30.199242,23.524120,30735905
2015-01-30,30.047438,30.170778,29.601519,29.648956,23.095467,45396623
2015-02-02,29.829222,30.028463,29.430740,30.028463,23.391090,24549979
2015-02-03,30.208729,30.512335,29.848198,30.379507,23.664537,34785267
2015-02-04,30.332067,30.616697,30.094877,30.426945,23.910574,38671365
2015-02-05,31.347248,31.499050,30.929790,31.299810,24.596506,62653660
2015-02-06,31.271347,31.707781,31.053131,31.470589,24.730711,36868498
2015-02-09,31.290323,31.650854,31.166983,31.375711,24.656157,32236379
2015-02-10,31.764706,32.466793,31.698292,32.400379,25.461372,62633318
2015-02-11,32.258064,32.741936,32.258064,32.495255,25.535925,41574608
2015-02-12,32.523720,33.178368,32.476280,33.083492,25.998192,46014267
2015-02-13,32.922199,33.159393,32.741936,32.865276,25.826704,24652638
2015-02-17,32.770397,33.055027,32.703983,32.808350,25.781975,24102029
2015-02-18,32.808350,32.808350,32.485767,32.713470,25.707413,22794015
2015-02-19,32.571156,32.703983,32.362431,32.647060,25.655220,28097954
2015-02-20,32.514233,32.808350,32.352940,32.789375,25.767065,27705022
2015-02-23,32.362431,32.751423,32.314991,32.628082,25.640312,24383868
2015-02-24,32.466793,32.580647,32.333965,32.580647,25.603035,20402805
2015-02-25,32.495255,33.007591,32.191650,32.884251,25.841619,39229880
2015-02-26,32.703983,32.941177,32.618595,32.817837,25.789427,20977551
2015-02-27,32.675522,32.884251,32.533207,32.561668,25.588118,25705901
2015-03-02,32.561668,33.017078,32.314991,32.988613,25.923630,22505008
2015-03-03,32.969639,33.102467,32.647060,32.789375,25.767065,25343641
2015-03-04,32.722961,32.988613,32.504745,32.865276,25.826704,20434636
2015-03-05,32.950665,33.026566,32.637569,32.703983,25.699957,24717354
2015-03-06,32.495255,32.694496,32.020874,32.229603,25.327173,42080528
2015-03-09,32.134724,32.428844,31.935484,32.286530,25.371910,32858028
2015-03-10,32.096775,32.381405,31.935484,32.049335,25.185513,40344696
2015-03-11,32.239090,32.352940,31.907021,31.907021,25.073675,26996840
2015-03-12,32.077801,32.314991,32.049335,32.258064,25.349537,29699085
2015-03-13,32.182163,32.258064,31.973434,32.258064,25.349537,29596847
2015-03-16,32.333965,32.789375,32.220116,32.675522,25.677586,30615643
2015-03-17,32.371918,32.542694,32.201138,32.419353,25.476288,21746760
2015-03-18,32.286530,32.732449,32.020874,32.618595,25.632854,34923131
2015-03-19,32.523720,32.618595,32.324478,32.400379,25.461372,21541020
2015-03-20,32.381405,32.703983,32.239090,32.495255,25.535925,62355378
2015-03-23,32.741936,33.633778,32.722961,33.254269,26.132389,53549524
2015-03-24,33.149906,33.206833,32.732449,32.751423,25.737240,34953907
2015-03-25,32.836811,33.206833,32.514233,32.542694,25.573215,30783229
2015-03-26,32.362431,32.637569,32.210625,32.409866,25.468834,26167553
2015-03-27,32.675522,32.827324,32.476280,32.760910,25.744694,24073782
2015-03-30,32.827324,33.415562,32.779884,33.206833,26.095110,26890386
2015-03-31,33.102467,33.330170,32.979126,33.007591,25.938541,27937956
2015-04-01,33.055027,33.055027,32.362431,32.571156,25.595575,33984017
